Activity,Lot,Duration_minutes
PackagedProduct_TransitPtoE,L1,4010
PackagedProduct_TransitPtoE,L2,4005
PackagedProduct_TransitPtoE,L3,4066
PackagedProduct_TransitPtoL,L1,42
PackagedProduct_TransitPtoL,L2,69
PackagedProduct_TransitPtoL,L3,53
PackagedProductForE_ColdStorage,L1,279
PackagedProductForE_ColdStorage,L2,242
PackagedProductForE_ColdStorage,L3,259
PackagedProductForL_ColdStorage,L1,178
PackagedProductForL_ColdStorage,L2,106
PackagedProductForL_ColdStorage,L3,185
Product_Packaging,L1,71
Product_Packaging,L2,56
Product_Packaging,L3,75
RawProduct_ColdStorage,L1,1197
RawProduct_ColdStorage,L2,1160
RawProduct_ColdStorage,L3,1017
RawProduct_GreenhouseStorage,L1,NA
RawProduct_GreenhouseStorage,L2,294
RawProduct_GreenhouseStorage,L3,324
RawProduct_Harvest,L1,40
RawProduct_Harvest,L2,17
RawProduct_Harvest,L3,22
RawProduct_TransitGHtoP,L1,NA
RawProduct_TransitGHtoP,L2,86
RawProduct_TransitGHtoP,L3,102
