China_DateTime,Chan 1 - Deg C,Chan 2 - %RH
1/9/20 9:25,25.8,41.3
1/9/20 9:26,26.2,39.7
1/9/20 9:27,26.3,39.7
1/9/20 9:28,26.3,39.7
1/9/20 9:29,26.3,40.8
1/9/20 9:30,26.5,40.9
1/9/20 9:31,26.6,39.7
1/9/20 9:32,26.6,39.2
1/9/20 9:33,26.6,38.6
1/9/20 9:34,26.6,38.6
1/9/20 9:35,26.5,38.6
1/9/20 9:36,26.5,38.6
1/9/20 9:37,26.5,38.6
1/9/20 9:38,26.4,38.6
1/9/20 9:39,26.4,38
1/9/20 9:40,26.4,38
1/9/20 9:41,26.4,37.5
1/9/20 9:42,26.3,37.5
1/9/20 9:43,26.2,37.5
1/9/20 9:44,26.2,37.4
1/9/20 9:45,26.1,37.4
1/9/20 9:46,26.1,36.9
1/9/20 9:47,26,36.9
1/9/20 9:48,26,36.9
1/9/20 9:49,25.9,36.8
1/9/20 9:50,25.8,36.8
1/9/20 9:51,25.8,36.8
1/9/20 9:52,25.7,36.3
1/9/20 9:53,25.6,36.3
1/9/20 9:54,25.6,36.3
1/9/20 9:55,25.5,36.2
1/9/20 9:56,25.5,36.2
1/9/20 9:57,25.4,36.2
1/9/20 9:58,25.3,36.2
1/9/20 9:59,25.3,36.2
1/9/20 10:00,25.2,36.2
1/9/20 10:01,25.1,36.2
1/9/20 10:02,25.1,36.2
1/9/20 10:03,25,36.2
1/9/20 10:04,25,36.2
1/9/20 10:05,24.9,36.2
1/9/20 10:06,24.8,36.2
1/9/20 10:07,24.7,36.2
1/9/20 10:08,24.7,36.2
1/9/20 10:09,24.6,36.2
1/9/20 10:10,24.6,36.2
1/9/20 10:11,24.5,36.1
1/9/20 10:12,24.4,36.1
1/9/20 10:13,24.3,36.1
1/9/20 10:14,24.3,36.1
1/9/20 10:15,24.2,36.1
1/9/20 10:16,24.2,36.1
1/9/20 10:17,24.1,36.1
1/9/20 10:18,24,35.5
1/9/20 10:19,23.7,35.5
1/9/20 10:20,23.4,35.5
1/9/20 10:21,23.1,36
1/9/20 10:22,22.9,36
1/9/20 10:23,22.7,36
1/9/20 10:24,22.5,35.9
1/9/20 10:25,22.4,35.9
1/9/20 10:26,22.2,35.9
1/9/20 10:27,22,35.9
1/9/20 10:28,21.8,35.9
1/9/20 10:29,21.6,36.4
1/9/20 10:30,21.4,36.4
1/9/20 10:31,21.3,33.6
1/9/20 10:32,21,32.4
1/9/20 10:33,20.8,32.4
1/9/20 10:34,20.6,32.3
1/9/20 10:35,20.3,32.9
1/9/20 10:36,20.1,33.4
1/9/20 10:37,19.9,33.4
1/9/20 10:38,19.8,33.4
1/9/20 10:39,19.6,33.4
1/9/20 10:40,19.4,33.4
1/9/20 10:41,19.3,33.3
1/9/20 10:42,19.2,33.9
1/9/20 10:43,19,33.9
1/9/20 10:44,18.9,34.4
1/9/20 10:45,18.8,34.4
1/9/20 10:46,18.7,34.4
1/9/20 10:47,18.6,34.4
1/9/20 10:48,18.5,34.4
1/9/20 10:49,18.4,34.4
1/9/20 10:50,18.2,34.4
1/9/20 10:51,18.2,34.4
1/9/20 10:52,18.1,34.9
1/9/20 10:53,18,34.9
1/9/20 10:54,17.9,34.9
1/9/20 10:55,17.8,34.9
1/9/20 10:56,17.8,35.4
1/9/20 10:57,17.7,35.4
1/9/20 10:58,17.6,35.4
1/9/20 10:59,17.5,35.4
1/9/20 11:00,17.4,35.4
1/9/20 11:01,17.4,35.4
1/9/20 11:02,17.3,35.4
1/9/20 11:03,17.2,35.4
1/9/20 11:04,17.2,35.4
1/9/20 11:05,17.1,35.4
1/9/20 11:06,17,35.4
1/9/20 11:07,17,35.3
1/9/20 11:08,16.9,35.3
1/9/20 11:09,16.8,35.3
1/9/20 11:10,16.8,35.3
1/9/20 11:11,16.7,35.3
1/9/20 11:12,16.7,35.3
1/9/20 11:13,16.6,35.9
1/9/20 11:14,16.6,35.9
1/9/20 11:15,16.5,35.8
1/9/20 11:16,16.5,35.8
1/9/20 11:17,16.4,36.4
1/9/20 11:18,16.4,35.8
1/9/20 11:19,16.3,36.4
1/9/20 11:20,16.3,37.5
1/9/20 11:21,16.2,36.4
1/9/20 11:22,16.2,36.4
1/9/20 11:23,16.2,36.4
1/9/20 11:24,16.2,36.4
1/9/20 11:25,16.1,37.5
1/9/20 11:26,15.9,37.4
1/9/20 11:27,15.8,37.4
1/9/20 11:28,15.8,37.4
1/9/20 11:29,15.8,37.4
1/9/20 11:30,15.8,37.4
1/9/20 11:31,15.6,38.5
1/9/20 11:32,15.4,38.5
1/9/20 11:33,15.1,38.4
1/9/20 11:34,14.9,38.4
1/9/20 11:35,14.6,38.9
1/9/20 11:36,14.5,38.9
1/9/20 11:37,14.4,38.9
1/9/20 11:38,14.2,39.4
1/9/20 11:39,14.1,39.4
1/9/20 11:40,13.9,39.4
1/9/20 11:41,13.8,39.4
1/9/20 11:42,13.7,39.4
1/9/20 11:43,13.6,39.4
1/9/20 11:44,13.4,39.3
1/9/20 11:45,13.4,39.3
1/9/20 11:46,13.3,39.3
1/9/20 11:47,13.2,39.3
1/9/20 11:48,13.1,39.3
1/9/20 11:49,13.1,46.8
1/9/20 11:50,13.2,43.1
1/9/20 11:51,13,44.7
1/9/20 11:52,13,43.6
1/9/20 11:53,12.9,43
1/9/20 11:54,12.8,43.6
1/9/20 11:55,12.8,43.6
1/9/20 11:56,12.7,43.6
1/9/20 11:57,12.6,44.1
1/9/20 11:58,12.8,45.7
1/9/20 11:59,12.8,44.6
1/9/20 12:00,12.8,43.6
1/9/20 12:01,12.7,43.6
1/9/20 12:02,12.6,43.5
1/9/20 12:03,12.6,43.5
1/9/20 12:04,12.5,43.5
