location,lot,stage,sample_rep,test,mean_actualcount_technicalreps,log10count,sl_day
E,L1,D10,1,APC,19613525.72,7.292555669,10
E,L1,D10,1,GN,6008193.954,6.778743944,10
E,L1,D10,2,APC,21763404.93,7.337726843,10
E,L1,D10,2,GN,10350270.49,7.014951699,10
E,L1,D10,3,APC,9053456.693,6.956814428,10
E,L1,D10,3,GN,4600937.008,6.662846287,10
E,L1,D4,1,APC,3314261.52,6.520386775,4
E,L1,D4,1,GN,954407.6408,5.979733908,4
E,L1,D4,2,APC,1323451.422,6.121708005,4
E,L1,D4,2,GN,933007.8989,5.969885321,4
E,L1,D4,3,APC,4405349.705,6.643980389,4
E,L1,D4,3,GN,1107777.996,6.044452734,4
E,L1,D6,1,APC,4315480,6.635029108,6
E,L1,D6,1,GN,978510,5.990565268,6
E,L1,D6,2,APC,3815683.962,6.581572397,6
E,L1,D6,2,GN,1589868.318,6.201361155,6
E,L1,D6,3,APC,11242082.68,7.050846775,6
E,L1,D6,3,GN,5045466.301,6.70290131,6
E,L1,D8,1,APC,43799960.75,7.641473721,8
E,L1,D8,1,GN,19747959.18,7.295522221,8
E,L1,D8,2,APC,13271040.1,7.122904961,8
E,L1,D8,2,GN,4457066.296,6.649049094,8
E,L1,D8,3,APC,12501591.45,7.096965302,8
E,L1,D8,3,GN,4751621.14,6.676841806,8
E,L1,DI,1,APC,4370607.975,6.640541854,3
E,L1,DI,1,GN,675685.9455,5.829744886,3
E,L1,DI,2,APC,5061660.032,6.704292972,3
E,L1,DI,2,GN,1764063.694,6.246514262,3
E,L1,DI,3,APC,4218089.799,6.625115821,3
E,L1,DI,3,GN,1282693.974,6.108123054,3
E,L2,D10,1,APC,14443356.78,7.159668139,10
E,L2,D10,1,GN,1542256.741,6.188156677,10
E,L2,D10,2,APC,15265796.81,7.183719478,10
E,L2,D10,2,GN,2777874.502,6.443712621,10
E,L2,D10,3,APC,4351682.748,6.638657226,10
E,L2,D10,3,GN,1254451.563,6.098453897,10
E,L2,D4,1,APC,2615940.141,6.417627802,4
E,L2,D4,1,GN,1183580.986,6.07319798,4
E,L2,D4,2,APC,3236724.273,6.510105705,4
E,L2,D4,2,GN,1414199.529,6.150510688,4
E,L2,D4,3,APC,3162200.077,6.499989345,4
E,L2,D4,3,GN,2679421.44,6.428041028,4
E,L2,D6,1,APC,11933741.5,7.076776626,6
E,L2,D6,1,GN,6141632.653,6.788283837,6
E,L2,D6,2,APC,13742955.91,7.138080153,6
E,L2,D6,2,GN,6278891.784,6.797882998,6
E,L2,D6,3,APC,8596691.7,6.934331352,6
E,L2,D6,3,GN,2556450.593,6.407637404,6
E,L2,D8,1,APC,11569889.47,7.06332921,8
E,L2,D8,1,GN,3831089.228,6.583322267,8
E,L2,D8,2,APC,7551987.205,6.878061245,8
E,L2,D8,2,GN,3030731.707,6.481547493,8
E,L2,D8,3,APC,9923112.948,6.996647935,8
E,L2,D8,3,GN,2859616.293,6.456307763,8
E,L2,DI,1,APC,5627322.275,6.750301788,3
E,L2,DI,1,GN,1130379.147,6.053224137,3
E,L2,DI,2,APC,4228978.474,6.626235474,3
E,L2,DI,2,GN,917098.2387,5.962415859,3
E,L2,DI,3,APC,2858700,6.456168582,3
E,L2,DI,3,GN,884486.6667,5.94669129,3
E,L3,D10,1,APC,13686348.14,7.136287583,10
E,L3,D10,1,GN,3310416.336,6.519882616,10
E,L3,D10,2,APC,10059771.66,7.002588123,10
E,L3,D10,2,GN,1426569.087,6.154292809,10
E,L3,D10,3,APC,11851857.77,7.073786431,10
E,L3,D10,3,GN,2962964.443,6.47172644,10
E,L3,D4,1,APC,9899980.901,6.995634357,4
E,L3,D4,1,GN,5046575.63,6.702996786,4
E,L3,D4,2,APC,1938665.614,6.287502907,4
E,L3,D4,2,GN,1423324.122,6.15330381,4
E,L3,D4,3,APC,1777464.789,6.249801006,4
E,L3,D4,3,GN,947981.2207,5.976799734,4
E,L3,D6,1,APC,15140015.69,7.180126325,6
E,L3,D6,1,GN,7262075.324,6.861060749,6
E,L3,D6,2,APC,5879651.623,6.769351594,6
E,L3,D6,2,GN,1526207.443,6.183613567,6
E,L3,D6,3,APC,5957137.145,6.775037599,6
E,L3,D6,3,GN,2077489.004,6.317538734,6
E,L3,D8,1,APC,11312535.66,7.053559961,8
E,L3,D8,1,GN,2177412.837,6.337940779,8
E,L3,D8,2,APC,18721794.36,7.272347471,8
E,L3,D8,2,GN,7564616.911,6.878786939,8
E,L3,D8,3,APC,30877276.33,7.489638984,8
E,L3,D8,3,GN,8142636.58,6.910765052,8
E,L3,DI,1,APC,2642956.248,6.422089974,3
