Lot,stage,sample_rep,location,test,mean_actualcount_technicalreps,log10count,timepoint,timepoint_simple,timepoint_hr,timepoint_hr_simple
L1,D0,1,L,APC,5331390,6.726840453,1439,1439,23.98,23.98
L1,D0,1,L,GN,1326590,6.122736719,1439,1439,23.98,23.98
L1,D0,2,L,APC,1299480.623,6.113769808,1483,1439,24.72,23.98
L1,D0,2,L,GN,334866.1606,5.524871263,1483,1439,24.72,23.98
L1,D0,3,L,APC,1075331.4,6.031542328,1494,1439,24.9,23.98
L1,D0,3,L,GN,250660,5.399085035,1494,1439,24.9,23.98
L1,DI,1,E,APC,4370607.975,6.640541854,5783,5783,96.38,96.38
L1,DI,1,E,GN,675685.9455,5.829744886,5783,5783,96.38,96.38
L1,DI,2,E,APC,5061660.032,6.704292972,5783,5783,96.38,96.38
L1,DI,2,E,GN,1764063.694,6.246514262,5783,5783,96.38,96.38
L1,DI,3,E,APC,4218089.799,6.625115821,5783,5783,96.38,96.38
L1,DI,3,E,GN,1282693.974,6.108123054,5783,5783,96.38,96.38
L1,H,1,L,APC,1346018.334,6.129050975,0,0,0,0
L1,H,1,L,GN,408790.7533,5.611501064,0,0,0,0
L1,H,2,L,APC,576671.383,5.7609284,15,0,0.25,0
L1,H,2,L,GN,152281.1877,5.182646255,15,0,0.25,0
L1,H,3,L,APC,17512594.96,7.243350503,26,0,0.43,0
L1,H,3,L,GN,2601871.251,6.415285803,26,0,0.43,0
L1,P,1,L,APC,6321680.672,6.800832554,1418,1418,23.63,23.63
L1,P,1,L,GN,368764.7059,5.566749348,1418,1418,23.63,23.63
L1,P,2,L,APC,4125329.868,6.615458681,1418,1418,23.63,23.63
L1,P,2,L,GN,1150091.963,6.060732569,1418,1418,23.63,23.63
L1,P,3,L,APC,814543.9648,5.91091453,1418,1418,23.63,23.63
L1,P,3,L,GN,274846.1231,5.439089615,1418,1418,23.63,23.63
L1,R,1,L,APC,3379314.822,6.528828653,1714,1714,28.57,28.57
L1,R,1,L,GN,533180.7831,5.726874488,1714,1714,28.57,28.57
L1,R,2,L,APC,477347.3831,5.678834546,1714,1714,28.57,28.57
L1,R,2,L,GN,164947.2633,5.217345114,1714,1714,28.57,28.57
L1,R,3,L,APC,24976057.46,7.397523885,1714,1714,28.57,28.57
L1,R,3,L,GN,4770426.975,6.678557252,1714,1714,28.57,28.57
L1,T,1,L,APC,12761228.98,7.105892502,221,221,3.68,3.68
L1,T,1,L,GN,2527223.779,6.402643699,221,221,3.68,3.68
L1,T,2,L,APC,2624580.336,6.419059871,221,221,3.68,3.68
L1,T,2,L,GN,472424.4604,5.674332376,221,221,3.68,3.68
L1,T,3,L,APC,1105280,6.043472312,221,221,3.68,3.68
L1,T,3,L,GN,145696,5.163447629,221,221,3.68,3.68
L2,D0,1,L,APC,8357356.828,6.922068945,1588,1588,26.47,26.47
L2,D0,1,L,GN,1826607.93,6.261645339,1588,1588,26.47,26.47
L2,D0,2,L,APC,14791250.5,7.170004892,1599,1588,26.65,26.47
L2,D0,2,L,GN,3008389.932,6.478334127,1599,1588,26.65,26.47
L2,D0,3,L,APC,2071186.576,6.316219223,1621,1588,27.02,26.47
L2,D0,3,L,GN,773575.7091,5.888502824,1621,1588,27.02,26.47
L2,DI,1,E,APC,5627322.275,6.750301788,5868,5868,97.8,97.8
L2,DI,1,E,GN,1130379.147,6.053224137,5868,5868,97.8,97.8
L2,DI,2,E,APC,4228978.474,6.626235474,5868,5868,97.8,97.8
L2,DI,2,E,GN,917098.2387,5.962415859,5868,5868,97.8,97.8
L2,DI,3,E,APC,2858700,6.456168582,5868,5868,97.8,97.8
L2,DI,3,E,GN,884486.6667,5.94669129,5868,5868,97.8,97.8
L2,H,1,L,APC,437920.3363,5.641395114,0,0,0,0
L2,H,1,L,GN,137632.1057,5.138719754,0,0,0,0
L2,H,2,L,APC,5378438.625,6.730656217,6,0,0.1,0
L2,H,2,L,GN,1876199.52,6.273279021,6,0,0.1,0
L2,H,3,L,APC,7737629.689,6.888607941,13,0,0.22,0
L2,H,3,L,GN,2421129.29,6.384017982,13,0,0.22,0
L2,P,1,L,APC,2097163.824,6.321632358,1563,1563,26.05,26.05
L2,P,1,L,GN,537078.5403,5.7300378,1563,1563,26.05,26.05
L2,P,2,L,APC,7409674.086,6.869799106,1563,1563,26.05,26.05
L2,P,2,L,GN,268981.3196,5.42972212,1563,1563,26.05,26.05
L2,P,3,L,APC,1302071.713,6.114634904,1563,1563,26.05,26.05
L2,P,3,L,GN,265422.3108,5.423937426,1563,1563,26.05,26.05
L2,T,1,L,APC,4163601.119,6.619469117,393,393,6.55,6.55
L2,T,1,L,GN,1479834.133,6.17021304,393,393,6.55,6.55
L2,T,2,L,APC,3718162.41,6.570328356,393,393,6.55,6.55
L2,T,2,L,GN,711192.1389,5.851986948,393,393,6.55,6.55
L2,T,3,L,APC,1178382.647,6.071286338,393,393,6.55,6.55
L2,T,3,L,GN,298356.4574,5.474735442,393,393,6.55,6.55
L3,D0,1,L,APC,1896935.096,6.278052472,1475,1475,24.58,24.58
L3,D0,1,L,GN,268100.1603,5.428297074,1475,1475,24.58,24.58
L3,D0,2,L,APC,2897683.706,6.462050979,1502,1475,25.03,24.58
L3,D0,2,L,GN,746902.9553,5.873264178,1502,1475,25.03,24.58
L3,D0,3,L,APC,13750000,7.138302698,1536,1475,25.6,24.58
L3,D0,3,L,GN,2175000,6.337459261,1536,1475,25.6,24.58
L3,DI,1,E,APC,2642956.248,6.422089974,5861,5861,97.68,97.68
L3,DI,1,E,GN,954400.8672,5.979730825,5861,5861,97.68,97.68
L3,DI,2,E,APC,12246590.91,7.088015211,5861,5861,97.68,97.68
L3,DI,2,E,GN,5265792.541,6.721463745,5861,5861,97.68,97.68
L3,DI,3,E,APC,3513834.237,6.54578127,5861,5861,97.68,97.68
L3,DI,3,E,GN,1073671.572,6.030871454,5861,5861,97.68,97.68
L3,H,1,L,APC,1452655.255,6.162162559,0,0,0,0
L3,H,1,L,GN,360659.2357,5.557097058,0,0,0,0
L3,H,2,L,APC,775581.7748,5.889627595,4,0,0.07,0
L3,H,2,L,GN,354124.1544,5.54915555,4,0,0.07,0
L3,H,3,L,APC,14067885.53,7.148228826,17,0,0.28,0
L3,H,3,L,GN,4295729.332,6.633036909,17,0,0.28,0
L3,P,1,L,APC,19263848.92,7.284743064,1459,1459,24.32,24.32
L3,P,1,L,GN,3152266.187,6.498622884,1459,1459,24.32,24.32
L3,P,2,L,APC,22010572.69,7.342631342,1459,1459,24.32,24.32
L3,P,2,L,GN,2726309.571,6.435575168,1459,1459,24.32,24.32
L3,P,3,L,APC,6918935.111,6.840039258,1459,1459,24.32,24.32
L3,P,3,L,GN,999124.2038,5.99961948,1459,1459,24.32,24.32
L3,R,1,L,APC,5578859.369,6.746545414,1774,1774,29.57,29.57
L3,R,1,L,GN,1312672.793,6.118156484,1774,1774,29.57,29.57
L3,T,1,L,APC,1406272,6.14806933,451,451,7.52,7.52
L3,T,1,L,GN,158205.6,5.199221852,451,451,7.52,7.52
L3,T,2,L,APC,4137098.446,6.616695855,451,451,7.52,7.52
L3,T,2,L,GN,914647.6684,5.961253832,451,451,7.52,7.52
L3,T,3,L,APC,564748.2014,5.751854856,451,451,7.52,7.52
L3,T,3,L,GN,112949.6403,5.052884852,451,451,7.52,7.52
